time [months], sunspot_number [count]
1,121.6406
2,161.6428
3,155.2697
4,142.1736
5,138.9758
6,157.0718
7,173.3646
8,148.0534
9,144.5051
10,81.1473
11,143.4364
12,198.7019
13,160.1097
14,117.5026
15,117.0279
16,120.9852
17,149.2129
18,156.6865
19,130.9812
20,152.1978
21,88.4804
22,95.4873
23,152.3887
24,121.4629
25,119.7633
26,106.5988
27,126.4243
28,134.9252
29,134.8205
30,122.0157
31,140.7356
32,142.6390
33,144.9213
34,80.5325
35,121.7893
36,103.9513
37,131.3119
38,143.0217
39,125.5654
40,184.1653
41,123.0180
42,74.9369
43,117.2382
44,99.0504
45,104.3686
46,91.9165
47,118.4391
48,110.5657
49,124.6305
50,75.3728
51,93.0281
52,116.4191
53,69.3555
54,134.5569
55,100.0720
56,77.0618
57,155.5667
58,156.0627
59,168.7668
60,144.9470
61,172.3235
62,141.6265
63,125.8198
64,144.2392
65,150.5875
66,155.6857
67,162.9278
68,145.3187
69,101.5883
70,166.2186
71,166.6301
72,146.7202
73,120.0577
74,136.6291
75,127.9899
76,143.9313
77,162.5135
78,177.4457
79,187.0814
80,154.7210
81,133.7508
82,67.6881
83,95.9686
84,84.9775
85,93.8369
86,88.5789
87,68.6731
88,104.5514
89,106.3570
90,146.9530
91,166.8789
92,106.3863
93,109.8836
94,151.4569
95,156.7398
96,147.9336
97,156.2535
98,166.0932
99,169.0917
100,196.5222
101,200.0000
102,167.7253
103,170.0377
104,128.8049
105,141.0634
106,109.7678
107,136.4981
108,170.3654
109,167.8740
110,126.4647
111,156.1440
112,139.2550
113,137.1660
114,183.0106
115,101.4997
116,192.9016
117,143.3619
118,156.3641
119,127.8746
120,145.6180
121,127.3996
122,117.2281
123,131.2769
124,142.7809
125,134.0102
126,155.0395
127,63.2414
128,75.7357
129,65.4699
130,125.2328
131,106.9915
132,100.0630
133,79.4956
134,142.4989
135,156.6087
136,139.9383
137,104.1799
138,108.8152
139,100.8904
140,139.1615
141,96.3619
142,113.5899
143,138.2808
144,105.4057
145,92.2308
146,52.6494
147,63.0301
148,46.4692
149,68.4945
150,91.0526
151,84.0896
152,52.4247
153,116.5406
154,86.3149
155,74.0879
156,68.7948
157,72.9026
158,78.8954
159,94.1797
160,64.2489
161,41.3665
162,115.3363
163,78.5401
164,117.3013
165,93.9134
166,115.8388
167,96.2269
168,64.5391
169,59.9659
170,116.8158
171,155.5560
172,115.4579
173,71.2494
174,131.3544
175,104.8930
176,148.0943
177,130.1014
178,141.8306
179,129.7643
180,110.7434
181,136.7603
182,138.1615
183,121.9410
184,138.5150
185,147.6243
186,94.0262
187,115.7190
188,107.8285
189,93.5563
190,152.4555
191,113.9760
192,107.3201
193,140.4484
194,108.7187
195,85.3730
196,109.4310
197,74.4793
198,112.1158
199,135.2895
200,104.4873
201,111.9639
202,100.5230
203,104.8925
204,71.2722
205,52.7371
206,0.0000
207,58.0823
208,62.2582
209,54.1642
210,90.0474
211,57.6266
212,24.6695
213,65.5323
214,100.3410
215,81.5513
216,108.1110
217,76.6617
218,143.0722
219,130.1648
220,107.3553
221,70.1832
222,126.5759
223,120.9483
224,127.2582
225,100.9834
226,122.0475
227,111.2539
228,112.4941
229,101.0552
230,123.0111
231,77.4258
232,109.4585
233,150.6169
234,62.4779
235,96.8977
236,116.9514
237,72.6182
238,91.3402
239,109.6112
240,128.4195
241,127.9124
242,54.3129
243,112.3324
244,126.0686
245,148.9591
246,102.5815
247,133.2646
248,102.0283
249,79.6505
250,116.1837
251,129.0770
252,149.7468
253,160.3886
254,105.0023
255,148.7354
256,153.9064
257,95.5667
258,105.3994
259,166.9562
260,95.2510
261,103.2404
262,111.9041
263,78.1892
264,77.9468
265,110.9278
266,147.2368
267,115.6100
268,119.5722
269,121.0396
270,143.2509
271,155.4020
272,162.9342
273,173.5756
274,111.3419
275,120.8251
276,112.8819
277,116.4843
278,78.8696
279,122.7414
280,136.5426
281,140.3979
282,140.3553
283,113.3262
284,125.1949
285,129.1840
286,68.1750
287,82.2836
288,99.2584
289,111.4700
290,120.5703
291,111.8701
292,120.6332
293,112.0295
294,75.1368
295,99.1225
296,65.4120
297,47.8873
298,105.7781
299,100.4280
300,74.4932
